353624 476677
40581 351426 36
40582 9365 103
40582 287678 39
40583 62475 121
40583 257308 110
40584 19153 186
40584 210882 145
40584 276042 12
40585 204386 180
40585 285017 40
40586 41790 92
40587 102450 189
40587 215888 106
40589 97517 128
40589 131797 85
40589 143359 23
40590 201376 170
40591 201026 200
40592 293956 77
40594 178586 88
40596 4656 196
40596 140158 183
40596 148217 186
40596 261297 181
40598 37733 165
40599 128509 54
40599 263901 118
40600 179128 7
40601 73385 21
40601 185137 101
40601 188516 66
40601 247709 4
40602 15521 194
40602 147293 106
40602 199652 73
40602 288115 13
40602 340474 9
40603 157796 158
40605 72535 104
40605 297030 3
40606 217962 120
40606 285868 125
40606 298703 103
40607 274417 133
40608 95978 134
40608 215438 104
40608 242292 139
40609 252031 189
40609 317253 21
40610 22644 29
40612 286231 194
40612 347124 171
40615 16365 58
40616 46950 65
40618 511 87
40618 95271 15
40618 244152 148
40618 250270 179
40618 307261 167
40620 30512 155
40622 45902 163
40625 138311 130
40625 276903 175
40626 135256 172
40628 182359 133
40628 217451 65
40629 99279 173
40630 282413 33
40632 146383 126
40632 284803 69
40632 297232 30
40634 277661 67
40635 290036 52
40635 325527 191
40636 109030 66
40636 302411 87
40638 189360 189
40639 26165 28
40639 69729 126
40639 341022 176
40640 94306 22
40640 143747 75
40641 259278 35
40641 303881 25
40642 72271 94
40643 388 55
40643 146351 186
40643 220912 184
40646 288201 72
40646 317333 78
40649 142516 164
40649 333481 160
40650 174202 148
40650 216775 122
40650 230890 74
40650 260449 111
40651 23457 114
40651 71212 138
40653 187618 56
40654 48373 88
40654 285276 38
40654 320478 61
40655 257198 42
40656 183739 186
40656 307693 154
40657 223195 140
40657 329331 178
40658 132056 58
40658 315616 2
40660 1325 97
40660 33609 142
40660 190776 74
40661 120834 174
40662 112287 13
40662 297609 49
40664 118359 82
40664 320246 70
40667 3953 92
40667 250044 135
40667 272996 133
40668 254938 180
40670 10012 143
40670 277527 150
40670 351599 95
40672 310666 102
40673 93997 44
40673 138724 48
40673 174752 89
40673 175378 11
40674 245721 122
40675 107013 92
40676 62211 149
40677 98818 18
40677 121467 177
40677 299246 165
40678 274430 141
40679 271664 150
40684 42260 91
40684 78976 115
40685 98171 155
40686 176924 158
40686 260831 189
40687 65235 24
40687 272958 153
40688 160567 200
40690 195936 7
40690 246189 127
40691 9149 5
40691 40222 93
40691 346669 123
40692 104371 62
40692 191079 193
40692 349347 22
40693 200577 171
40693 219737 191
40694 54388 83
40694 325860 38
40695 95537 47
40695 256028 71
40695 268643 70
40696 252340 33
40698 84473 17
40699 298969 103
40701 310457 187
40703 132370 175
40705 129440 19
40705 297295 73
40706 231145 110
40706 259279 92
40707 63621 27
40707 64571 60
40707 282555 59
40707 334350 7
40708 107358 59
40708 170701 124
40708 247464 173
40708 302576 157
40709 250142 97
40709 344489 125
40710 45751 106
40710 113815 145
40710 213351 119
40711 323865 48
40713 322277 73
40714 121499 2
40714 201242 58
40714 296587 112
40715 289052 79
40716 197548 45
40716 279280 50
40718 126671 188
40720 182287 50
40721 294611 11
40722 241943 39
40722 350240 15
40723 117164 81
40723 248888 144
40723 296980 96
40724 107991 135
40724 335445 54
40725 165430 80
40725 226977 186
40726 203737 121
40726 215402 197
40727 59798 78
40728 170140 53
40728 274466 48
40729 243635 168
40730 351355 127
40731 78686 153
40731 100062 132
40731 307620 86
40732 32446 41
40732 63457 96
40732 78563 140
40732 126552 198
40732 350744 162
40733 151783 23
40734 88489 12
40734 105405 181
40735 168866 41
40736 121050 43
40737 62821 192
40737 274584 161
40738 244152 7
40739 54165 70
40739 189853 58
40740 30285 52
40740 209812 183
40741 101103 109
40741 302694 198
40741 337132 118
40741 347180 52
40742 90808 132
40743 227137 122
40744 70948 82
40744 159748 140
40744 163437 76
40744 213759 130
40744 217613 196
40745 247909 78
40745 278796 65
40748 26610 158
40748 53292 120
40749 87442 91
40749 342693 140
40750 40954 7
40750 246475 103
40750 310520 108
40751 331697 19
40753 148703 180
40753 186018 190
40753 258590 96
40754 194656 178
40754 223485 124
40756 122939 191
40756 286245 65
40757 123628 2
40757 297147 5
40757 307883 21
40758 24616 170
40758 63369 148
40758 341097 51
40759 3241 88
40759 271733 27
40761 256601 72
40763 50270 41
40763 71233 5
40763 218875 138
40768 102544 75
40768 194551 17
40769 270613 122
40771 114074 195
40772 311936 3
40774 78558 71
40774 327216 16
40776 38905 24
40776 282718 22
40777 172942 27
40778 81500 46
40779 5144 143
40779 332712 117
40780 73959 173
40781 91702 104
40782 26006 80
40782 284134 99
40783 188487 62
40783 221239 2
40783 334202 195
40784 331512 44
40785 10063 129
40785 135868 64
40786 224029 184
40788 224306 185
40788 318412 190
40789 91296 176
40789 316947 194
40790 55565 52
40790 315771 171
40791 321656 119
40792 44156 44
40792 49297 6
40792 257144 47
40792 325800 74
40794 210994 194
40796 129828 12
40796 277773 86
40797 256584 113
40798 40328 119
40798 176759 70
40799 87134 72
40799 121820 135
40799 196319 74
40800 56647 97
40800 235238 177
40800 331457 125
40801 81279 177
40801 240380 57
40802 19458 84
40802 265700 11
40803 31172 69
40803 270078 70
40805 133924 23
40806 196373 120
40806 229648 25
40806 255525 52
40807 153877 96
40808 65112 47
40808 344939 189
40809 123556 57
40809 278204 25
40810 27923 66
40811 125168 89
40811 138609 2
40813 7988 185
40813 302233 130
40814 244080 130
40815 205761 3
40816 9718 192
40817 171249 68
40817 188131 137
40817 230855 198
40817 320832 12
40818 180988 65
40818 303311 9
40818 312347 108
40819 54131 55
40819 66622 138
40819 79395 10
40819 280649 167
40820 25447 91
40820 214499 197
40821 25035 115
40821 183654 118
40821 212387 117
40821 284243 70
40822 108743 94
40822 165844 122
40822 230708 133
40823 120244 133
40823 199299 194
40826 184443 137
40829 11374 163
40829 108412 8
40832 85497 2
40832 216333 83
40833 52388 24
40833 145854 63
40834 12906 193
40836 303120 200
40839 681 197
40840 44521 40
40840 289194 127
40840 302972 161
40841 62601 196
40841 211296 40
40842 256010 183
40842 263140 80
40843 25350 141
40844 140530 133
40844 268262 65
40845 20355 18
40845 66369 62
40845 70051 96
40847 186973 175
40848 41018 53
40848 96467 123
40851 34503 68
40851 44138 29
40851 83029 128
40852 112967 43
40853 38758 161
40853 348068 154
40854 244603 56
40855 327031 11
40856 233201 166
40856 304844 23
40857 12506 2
40857 246629 51
40857 279443 30
40858 106386 60
40858 210540 80
40859 5020 62
40859 204161 14
40860 75315 97
40860 78866 59
40860 162126 110
40860 163062 97
40860 326409 150
40862 59412 46
40862 196325 110
40863 35360 14
40864 174641 60
40865 73351 38
40866 11509 141
40866 112745 110
40866 309856 80
40867 343008 97
40871 295869 129
40872 323577 85
40873 332986 41
40874 178249 126
40875 153137 88
40876 97737 48
40877 145190 54
40878 236317 182
40883 234580 28
40884 218814 113
40884 242055 56
40884 258758 125
40886 24272 122
40886 252490 29
40888 102372 93
40888 350438 98
40889 179721 25
40891 115189 7
40892 93938 79
40892 95569 71
40892 121494 89
40892 256425 125
40895 126954 168
40896 76034 77
40896 239581 194
40897 271969 62
40898 80241 17
40898 120274 94
40899 105919 128
40899 120048 107
40899 286437 112
40900 241071 164
40901 8222 170
40901 61696 105
40902 129135 101
40902 273460 198
40903 91993 96
40904 17371 196
40904 244192 94
40905 145517 67
40906 190630 77
40906 277565 85
40907 151389 72
40908 224244 30
40909 2558 50
40909 138535 105
40910 184240 24
40910 205499 152
40911 111146 192
40911 248224 33
40912 71313 153
40912 346825 14
40913 67460 152
40915 138726 25
40916 121095 108
40916 220858 174
40917 265111 188
40918 11375 189
40918 160180 66
40918 289337 70
40920 39332 107
40920 79716 8
40921 79428 171
40921 143638 114
40922 92732 10
40923 246390 39
40923 301564 91
40925 230026 41
40925 244554 39
40925 342177 62
40927 14342 60
40927 88717 194
40931 223094 89
40932 277780 128
40932 322383 91
40933 219104 116
40934 345144 48
40935 152418 138
40935 346487 114
40936 287267 198
40937 55671 141
40937 107218 145
40938 176859 47
40940 23823 71
40940 107379 43
40940 150165 154
40941 244334 16
40942 189911 4
40943 130519 18
40943 162583 55
40944 291603 68
40945 53159 56
40945 270042 149
40945 276174 176
40945 323991 47
40946 74749 140
40949 311593 118
40950 20714 172
40950 59708 78
40950 111090 47
40950 163463 81
40950 236331 166
40951 294121 136
40951 351325 157
40952 61561 128
40952 294349 170
40952 296565 28
40953 74514 118
40953 124733 25
40954 97701 67
40954 120054 56
40954 219879 179
40954 324384 29
40955 227464 181
40955 273189 193
40957 271890 139
40957 273163 181
40957 273879 130
40957 336224 172
40958 104676 147
40958 184075 158
40958 307368 132
40959 21692 32
40959 98242 92
40959 195968 150
40959 197207 45
40960 194792 36
40961 237875 21
40963 85892 165
40963 93779 17
40963 202888 162
40963 205978 181
40967 297624 185
40968 22801 97
40968 237482 16
40968 283434 152
40969 133962 116
40969 170630 69
40969 327969 166
40971 16183 180
40971 55590 50
40973 70519 160
40973 325770 121
40975 120829 135
40975 184888 152
40977 12458 136
40977 72009 93
40977 92270 3
40977 274027 59
40979 172249 140
40979 191684 127
40981 165155 51
40981 174453 21
40981 191961 171
40981 238023 163
40982 116637 179
40982 133333 115
40984 110734 180
40984 195267 142
40985 144884 165
40986 179550 64
40986 221235 199
40989 160193 177
40990 9909 189
40990 208947 97
40990 231947 46
40990 296811 127
40991 82895 186
40991 257515 79
40992 9209 161
40992 16621 16
40992 25141 74
40993 141147 129
40995 180005 99
40996 207025 166
40996 222730 136
40997 123780 84
41000 90645 97
41001 251901 54
41003 133544 54
41004 59273 180
41005 41277 187
41005 42041 171
41006 256647 67
41007 295580 167
41007 339543 36
41008 227138 149
41010 218255 126
41010 325616 112
41011 157714 8
41012 48117 196
41012 157701 41
41012 236515 134
41013 28256 63
41015 148282 196
41016 12065 93
41016 17956 53
41017 41246 88
41017 95670 61
41020 38957 10
41020 87290 45
41020 133242 82
41021 72921 107
41022 73562 169
41022 91194 113
41022 283212 96
41023 159307 73
41025 232755 176
41025 235494 147
41025 311445 65
41026 47324 147
41026 66518 15
41026 175290 123
41027 168973 114
41028 20905 41
41028 65467 63
41028 89809 69
41028 96402 75
41028 119643 165
41028 261917 16
41029 252503 145
41030 105316 75
41030 215189 163
41030 256709 142
41031 294176 34
41033 27764 54
41033 265899 51
41033 343736 105
41034 269575 174
41034 275473 191
41035 13912 13
41035 15192 100
41035 205930 130
41035 344777 4
41036 152106 92
41036 181706 154
41036 280189 19
41037 28607 84
41038 42847 4
41038 45015 8
41038 218059 157
41039 174785 158
41039 220675 147
41039 349233 87
41040 33840 119
41040 235679 20
41041 118897 185
41041 293469 68
41042 2879 13
41042 36230 174
41042 128533 70
41042 249610 69
41044 255840 101
41044 257079 149
41045 259509 53
41046 273288 48
41046 331139 154
41046 347257 142
41047 98779 60
41048 854 174
41048 227785 7
41050 67468 191
41050 193163 120
41051 88294 82
41051 131328 24
41051 211546 151
41052 81275 92
41052 129092 69
41052 290808 82
41055 184606 11
41056 130245 16
41056 200697 154
41056 250028 186
41057 4413 181
41057 321197 199
41058 63772 65
41058 319147 182
41058 326965 172
41061 197508 148
41062 101400 65
41062 198101 183
41063 105207 164
41064 90253 63
41064 257392 200
41064 339007 164
41065 208523 72
41066 325568 96
41067 122980 3
41067 197114 40
41067 245757 164
41068 186888 107
41069 54477 51
41070 195348 34
41070 229201 12
41072 85339 140
41072 120252 23
41072 241102 82
41072 257282 78
41073 316001 11
41074 37751 162
41075 112347 84
41075 321295 27
41076 58172 50
41077 28139 47
41077 332797 85
41078 177482 130
41079 33674 64
41079 106191 172
41079 201185 10
41081 50544 165
41081 73482 78
41081 92566 7
41081 178049 15
41081 236251 50
41081 241619 83
41082 322361 42
41083 150357 102
41083 187087 91
41083 277449 179
41084 111412 110
41084 196234 195
41084 217369 6
41084 232723 83
41085 214555 19
41087 26668 125
41088 231302 3
41089 119888 150
41089 346957 96
41090 51997 40
41090 124906 130
41090 142139 27
41090 158243 23
41091 218552 144
41091 270636 49
41092 85012 149
41093 274526 131
41093 290396 10
41094 110292 97
41094 318600 118
41095 257921 38
41097 136185 105
41097 223595 145
41097 345835 143
41098 18426 64
41098 216803 93
41098 231992 94
41099 175642 25
41099 224223 130
41099 345410 43
41101 123071 123
41101 160090 154
41101 193716 115
41101 271890 88
41101 288820 16
41102 37713 152
41102 154771 197
41104 324190 200
41107 287084 133
41109 198974 120
41109 269268 55
41109 296948 139
41111 22291 130
41111 213043 65
41111 277191 175
41112 77817 190
41112 328209 68
41113 122352 19
41113 224407 25
41114 340000 50
41116 101192 127
41116 117124 9
41118 107601 81
41119 61712 39
41119 114484 165
41119 337864 43
41120 145310 122
41123 245647 55
41124 43857 132
41124 92913 73
41124 101550 40
41124 169263 182
41124 178485 82
41126 194942 195
41126 316329 145
41127 77947 79
41127 243221 38
41128 220848 187
41128 261480 50
41128 337328 161
41129 352972 95
41132 136993 75
41134 185596 64
41134 303005 21
41135 262725 179
41136 98649 6
41136 320040 56
41137 20765 145
41137 164326 198
41138 157892 68
41139 167755 150
41139 225097 132
41140 96299 106
41140 140076 31
41140 240376 159
41142 65042 55
41142 182513 128
41142 318139 157
41143 158158 50
41143 165632 72
41143 203759 65
41144 249877 92
41145 102497 15
41145 285816 95
41146 74405 42
41146 84102 194
41146 213362 36
41146 235674 174
41146 282314 27
41148 87070 52
41149 164295 40
41150 141633 102
41150 142920 124
41151 142983 3
41151 164469 182
41151 302063 184
41153 52244 77
41153 65485 161
41153 129544 42
41154 15632 40
41154 141148 194
41155 56024 33
41155 153110 32
41155 233975 185
41156 210439 181
41156 280843 191
41156 341261 136
41157 26694 160
41157 123367 63
41157 246805 64
41157 260218 81
41157 346740 170
41158 41161 166
41159 177139 144
41159 202768 144
41160 270647 90
41161 175124 51
41162 227959 3
41162 258908 109
41163 57820 177
41164 91206 71
41165 292571 147
41166 40989 116
41166 121668 128
41166 150690 65
41166 288243 29
41169 57309 67
41169 130404 110
41171 161754 149
41171 208917 157
41171 297380 176
41172 187597 184
41173 41229 93
41173 352246 12
41174 328820 14
41178 351672 55
41180 308048 90
41183 78002 122
41184 36070 146
41185 71748 157
41186 134617 133
41187 51062 89
41187 226797 104
41189 341028 19
41190 319068 155
41191 145020 93
41192 109530 56
41192 190271 17
41192 281514 187
41192 310646 54
41193 80261 175
41193 127603 116
41193 223712 89
41195 289837 191
41196 162732 67
41198 183979 80
41198 289000 69
41199 182156 143
41201 205096 153
41203 74358 131
41204 179091 20
41206 94057 147
41207 350823 185
41208 212218 23
41209 16636 122
41209 86166 143
41211 8613 69
41212 1656 170
41212 238573 144
41213 292461 38
41214 6138 23
41215 48223 187
41215 62655 132
41215 149590 92
41215 154318 155
41216 121195 170
41217 275094 168
41217 294653 138
41218 105017 51
41218 184354 97
41220 351082 128
41221 273081 170
41222 56474 88
41222 221624 29
41222 282641 23
41222 296708 146
41222 317320 92
41224 144202 31
41224 242699 199
41224 276373 85
41225 251557 72
41226 199777 193
41229 196297 133
41229 285448 197
41230 91091 12
41231 325421 100
41233 16450 161
41236 346409 123
41237 30617 125
41237 196414 58
41238 50576 183
41238 298642 64
41239 11507 107
41240 130128 198
41240 259278 122
41241 41267 156
41241 157685 170
41242 120770 68
41243 3775 123
41243 337255 16
41244 11346 144
41244 319197 144
41246 171316 166
41246 351469 193
41248 166562 90
41249 268439 131
41249 300840 43
41251 31448 3
41251 148919 151
41253 280720 87
41256 130011 18
41256 323619 66
41259 37862 25
41259 130530 119
41260 22557 8
41261 51752 138
41263 14948 17
41263 122385 17
41264 208068 160
41264 326000 88
41265 85932 147
41267 193990 64
41268 202965 83
41269 88647 143
41269 124854 95
41269 242834 66
41269 276873 166
41269 341861 57
41270 205981 108
41274 82657 162
41275 12818 4
41275 171506 161
41276 74648 57
41277 352590 92
41278 56529 158
41279 102234 180
41280 24357 124
41280 265417 6
41280 271184 84
41281 73916 129
41281 104321 199
41282 104425 162
41282 156220 108
41282 170108 192
41283 318453 144
41284 150950 103
41284 273789 5
41285 114813 146
41285 133071 14
41288 50502 176
41289 46050 29
41289 165971 183
41289 273931 97
41291 162346 172
41292 20472 125
41293 24891 182
41293 111936 30
41294 28443 64
41294 306006 76
41295 229622 10
41295 345703 93
41296 27330 113
41296 125469 74
41296 157691 33
41297 127796 89
41297 324129 200
41299 240162 41
41299 261896 105
41300 123580 56
41300 157192 191
41302 293047 109
41302 299881 159
41303 10468 115
41303 138372 44
41303 138661 60
41305 124183 149
41305 132118 104
41306 331845 27
41307 324599 180
41308 74531 193
41308 261766 50
41309 217728 65
41309 234672 121
41310 209897 95
41311 54720 161
41312 84479 194
41313 201249 180
41314 347839 29
41315 239646 1
41316 279164 131
41317 348392 65
41319 310501 5
41319 332737 66
41320 9574 153
41321 220925 23
41321 352635 37
41322 66078 95
41322 68879 75
41322 74075 183
41322 225530 145
41322 329147 134
41323 4656 193
41324 48544 164
41324 155389 5
41325 155617 23
41327 296840 196
41328 95236 112
41330 43257 154
41330 313160 191
41331 101219 198
41332 210157 83
41333 300761 192
41333 305654 58
41337 165861 183
41337 182268 53
41338 91012 192
41338 184017 191
41340 71957 159
41341 98172 11
41341 267713 25
41342 175638 184
41342 284520 6
41343 80865 56
41343 84148 114
41343 130437 176
41343 135179 85
41343 190229 130
41343 241184 161
41343 344237 5
41344 337232 65
41346 244841 128
41347 106250 50
41348 15097 151
41348 28875 146
41348 150248 126
41349 42640 123
41350 123444 148
41350 243131 111
41351 291933 28
41352 32416 57
41352 245156 7
41353 1819 148
41353 300269 45
41354 68473 194
41354 144383 171
41355 327214 136
41356 219668 136
41357 161639 164
41357 195616 6
41357 239992 141
41358 35573 162
41359 262629 106
41359 324850 159
41361 170190 176
41363 5654 171
41364 195209 137
41364 251133 44
41366 223978 89
41367 132777 172
41367 340087 101
41368 63234 99
41368 106846 95
41369 93468 87
41369 130962 44
41370 77117 163
41371 120489 175
41372 60409 129
41372 97428 41
41372 209641 154
41372 229186 136
41372 235208 126
41374 271148 147
41374 313019 74
41375 217551 129
41378 143096 72
41379 9219 12
41379 42556 148
41379 82252 181
41379 278599 183
41380 11959 99
41380 317291 181
41381 251843 85
41384 161841 21
41386 267690 64
41388 188974 60
41390 94319 184
41390 147731 175
41391 82971 71
41391 291933 28
41393 134919 92
41394 37710 46
41394 266919 128
41395 108700 173
41396 49198 59
41396 97476 48
41397 2318 68
41397 255043 101
41398 119776 62
41398 165480 27
41399 35932 64
41399 152914 135
41399 203649 63
41404 336499 96
41405 21932 54
41405 111083 121
41405 116451 149
41405 214700 145
41405 321146 90
41406 194330 195
41406 330995 187
41408 67088 69
41408 118408 99
41410 141059 95
41410 165284 83
41410 249418 149
41410 352808 80
41411 153296 113
41412 11952 133
41412 31573 190
41413 74821 90
41415 57404 144
41416 211530 195
41416 238157 93
41417 87639 110
41418 317124 120
41419 4484 147
41420 277017 14
41420 304325 123
41422 35057 40
41423 98043 6
41423 173602 34
41424 178723 179
41424 289711 46
41425 347852 43
41426 15825 170
41426 228441 30
41428 104441 89
41429 46274 67
41430 134710 57
41432 185447 154
41432 328533 56
41435 165574 195
41435 271655 194
41435 273045 122
41435 340070 66
41437 279743 189
41438 192919 24
41439 12567 123
41439 101718 108
41440 80233 44
41440 162736 74
41441 44268 166
41441 243643 142
41444 78041 82
41444 244492 131
41446 72248 178
41448 219768 90
41449 97969 34
41449 120632 31
41450 106841 115
41451 39053 11
41451 133097 80
41452 182202 5
41452 289212 40
41452 347077 119
41454 65359 109
41455 85318 141
41457 118533 177
41458 244628 154
41459 140695 74
41459 258930 180
41460 45991 193
41460 243102 128
41461 119775 160
41461 233805 32
41461 288628 19
41463 195838 64
41464 92256 87
41464 142000 41
41465 144093 147
41466 63112 199
41466 255543 101
41467 14298 116
41468 167192 54
41468 198203 92
41469 223757 104
41469 335674 92
41471 149714 65
41471 232671 92
41471 256559 191
41472 71527 108
41472 161263 96
41472 238866 26
41473 48989 142
41473 85416 192
41473 197230 12
41474 306154 197
41475 64331 41
41476 227328 33
41478 27466 151
41478 258602 196
41478 346879 152
41479 149604 114
41479 341271 62
41479 351959 11
41480 126653 131
41480 167113 60
41481 227057 129
41481 291515 68
41482 295886 107
41483 305797 171
41484 229083 44
41485 21526 45
41485 319398 118
41486 290253 132
41487 206987 129
41488 158469 10
41491 54290 60
41492 113360 182
41493 78909 191
41493 226097 184
41493 319453 133
41494 58711 190
41494 139328 88
41494 155859 109
41495 332572 61
41496 304666 45
41497 121444 181
41498 27676 60
41500 336513 59
41502 289551 32
41504 351884 168
41505 31185 199
41505 76497 177
41505 284736 149
41506 112216 1
41506 164823 22
41506 310889 99
41507 89327 71
41507 298977 42
41508 344214 32
41509 243502 198
41509 346080 120
41510 315235 185
41511 62435 107
41511 284239 129
41512 158070 77
41512 182811 106
41512 234420 88
41516 348013 54
41517 77168 66
41517 184591 178
41517 309880 53
41518 278457 33
41518 284892 115
41519 334162 133
41521 16939 70
41521 197932 197
41521 223623 69
41521 302499 89
41523 42033 141
41523 79100 113
41523 321110 151
41523 351694 83
41524 90374 20
41525 30521 49
41527 51520 77
41527 278864 63
41527 342510 40
41528 269216 32
41528 332924 4
41529 52850 32
41531 59080 122
41531 159380 129
41531 176324 120
41531 265812 153
41533 155280 112
41536 119991 154
41536 263676 117
41538 49162 26
41538 227650 118
41539 351577 53
41542 17439 174
41542 338490 36
41544 230931 36
41545 42520 15
41546 97282 196
41548 21133 89
41548 136140 119
41548 181390 18
41548 185657 45
41549 115302 94
41551 118022 156
41552 40723 14
41553 74687 132
41553 263849 97
41555 180880 164
41557 209050 30
41559 52862 146
41559 101794 17
41559 121415 38
41560 27048 81
41560 129227 183
41561 319140 171
41562 94350 32
41563 269797 19
41564 278772 81
41565 342632 6
41565 348702 80
41566 63556 159
41566 198370 90
41567 303977 115
41568 83915 2
41568 194552 160
41568 231172 28
41568 330756 129
41568 335312 47
41569 240195 23
41571 105906 6
41572 70065 20
41572 205918 1
41573 229146 2
41573 351744 74
41575 2953 155
41575 304156 10
41577 58294 119
41579 330325 23
41580 176015 196
41581 179567 92
41581 328049 30
41583 142653 116
41583 220428 4
41584 28989 169
41586 42115 72
41589 123120 41
41589 257225 84
41590 141854 80
41590 187971 190
41591 317879 35
41592 158538 192
41594 112450 52
41594 206343 38
41594 307572 53
41596 292206 9
41598 269703 185
41599 163499 191
41599 341347 158
41600 223918 77
41601 90406 61
41601 101844 17
41601 144754 159
41602 127632 71
41602 170081 123
41602 220052 120
41603 4271 107
41604 54766 157
41604 288118 68
41604 318076 182
41605 323906 123
41609 241317 180
41609 336662 149
41610 16713 92
41610 253279 37
41611 213212 191
41613 229256 74
41614 288271 198
41616 282540 189
41616 292175 184
41617 246162 182
41619 96457 47
41619 283981 193
41619 308495 197
41620 105907 186
41620 180929 141
41621 108647 164
41623 71382 164
41623 238769 148
41626 87826 33
41629 123581 162
41630 7687 142
41630 149163 119
41630 188742 45
41630 275904 88
41631 100342 41
41631 257860 122
41631 293523 79
41632 267372 99
41633 342030 19
41634 17814 88
41637 184715 168
41638 279462 183
41638 338717 6
41641 113337 182
41641 325740 158
41642 218008 30
41642 224491 1
41642 338053 140
41644 174095 145
41645 193469 21
41645 218933 127
41645 303707 63
41646 195507 194
41646 299551 173
41648 260483 19
41649 21502 41
41649 119414 116
41649 301570 90
41649 348334 16
41650 289830 113
41652 243116 17
41652 288118 84
41653 302833 61
41654 120368 115
41654 214020 40
41654 239174 145
41654 345021 38
41654 349873 174
41655 58822 60
41655 78794 169
41655 116625 51
41655 208515 189
41656 159584 72
41656 281900 3
41657 4524 49
41657 236362 140
41658 99622 126
41659 336299 17
41661 140119 142
41662 157614 106
41662 329667 84
41663 296207 199
41664 108684 179
41666 257828 34
41666 326030 27
41667 174521 80
41667 249942 73
41667 319548 171
41668 265586 176
41668 351695 104
41670 254363 58
41670 276200 166
41670 278354 81
41671 165853 106
41674 213996 33
41674 230864 72
41676 145204 175
41678 49964 158
41678 124573 129
41679 31328 20
41679 74066 127
41679 125847 67
41680 322532 190
41682 96353 121
41684 256722 94
41684 277258 45
41685 31533 89
41685 272992 29
41685 317141 141
41685 345275 133
41688 214001 119
41689 203665 111
41690 113166 164
41691 203130 49
41691 223088 200
41691 300388 132
41692 336066 64
41693 45703 5
41693 194233 142
41694 261720 61
41694 309365 178
41695 315243 130
41696 212494 125
41696 241502 30
41696 349634 81
41697 67867 77
41698 78831 182
41699 312067 88
41702 151090 48
41703 96316 8
41704 184064 102
41707 341956 199
41708 345811 130
41709 16702 30
41710 235864 22
41711 311699 16
41712 20586 111
41713 229184 161
41714 174286 27
41714 232261 77
41715 37491 38
41716 6433 24
41716 185258 121
41717 165576 160
41717 190379 24
41717 209601 78
41717 253261 160
41717 312241 162
41718 169830 160
41718 190490 183
41718 344739 153
41719 310701 172
41720 344906 186
41721 65479 9
41722 17835 148
41722 140323 188
41722 290243 179
41723 85439 49
41724 236172 159
41725 299571 13
41725 342116 196
41726 212685 81
41726 278306 94
41726 280935 2
41727 195742 193
41727 231130 97
41728 115002 28
41728 345023 91
41729 332347 175
41729 346586 55
41730 121521 68
41730 225551 17
41731 89286 86
41732 326190 46
41733 82853 131
41734 112089 128
41734 141393 100
41734 233111 185
41735 117045 199
41735 315491 103
41736 39044 36
41736 349930 178
41737 38969 102
41738 120461 4
41738 261758 71
41738 266362 9
41738 333800 176
41740 133525 44
41740 283569 111
41742 220049 82
41742 239374 150
41743 297790 167
41743 321217 161
41744 293345 199
41745 49361 177
41746 218311 68
41747 104812 42
41748 98089 133
41748 184026 136
41750 174214 16
41750 278533 40
41751 82600 77
41753 33133 1
41754 330242 4
41755 68323 62
41755 301737 36
41756 17355 121
41756 22950 165
41756 265662 95
41756 327718 83
41757 198672 87
41758 91415 196
41758 139769 43
41759 268775 98
41760 219383 5
41761 84859 172
41762 211663 150
41762 245351 130
41762 348796 96
41763 3466 179
41764 122665 34
41766 103046 137
41768 233567 19
41769 134906 78
41770 31152 179
41770 54902 77
41770 120468 54
41771 171135 47
41772 79232 146
41772 266130 188
41773 238678 69
41774 114663 154
41774 149638 28
41775 283 140
41776 131106 21
41776 194229 131
41776 256760 127
41776 325237 72
41778 332059 149
41779 77545 79
41780 44973 152
41780 232724 174
41781 14665 133
41781 105681 172
41781 117305 108
41781 257762 150
41781 300500 25
41782 59716 28
41782 302077 90
41783 187697 31
41783 211915 184
41785 32610 181
41785 35590 116
41785 148918 50
41785 166839 21
41786 93958 131
41786 185862 190
41787 71372 81
41788 107662 120
41789 239208 94
41790 5134 148
41791 169769 165
41793 97178 90
41793 109903 178
41794 150825 169
41795 349726 154
41796 122858 196
41796 273652 133
41796 346685 124
41797 116665 73
41799 43083 158
41800 233223 10
41800 323785 192
41801 5178 125
41801 163921 93
41802 18654 120
41803 14388 124
41804 232738 192
41804 266536 132
41804 286081 180
41806 353273 74
41807 329923 154
41810 220665 89
41810 274022 166
41811 60209 4
41811 251236 30
41813 4507 70
41813 11802 97
41814 242065 13
41815 46696 109
41816 42203 26
41818 103084 106
41818 330414 11
41820 236998 126
41822 90734 92
41822 181461 19
41824 111623 135
41824 255170 167
41825 8681 4
41825 153997 98
41825 214601 95
41826 55487 67
41826 223060 70
41826 288433 31
41827 94131 188
41827 107620 133
41827 114915 177
41827 160578 122
41828 165823 19
41829 153271 141
41829 202313 189
41829 261217 80
41829 289764 23
41831 59607 53
41831 116054 59
41832 54990 82
41833 207299 140
41833 314020 143
41835 261174 72
41835 293871 25
41836 316810 187
41837 10102 60
41838 98442 107
41839 208488 32
41840 13009 51
41840 246485 40
41841 53277 112
41841 105939 142
41842 177583 144
41843 207803 165
41843 261876 39
41844 37499 116
41844 225326 183
41844 225663 67
41844 323348 3
41844 342033 33
41845 201611 80
41849 106242 55
41850 310098 172
41851 131446 157
41851 330711 103
41852 348268 9
41853 328944 92
